RAJ2000,DEJ2000,B1mag,R1mag,Imag
130.09203,19.669939,7.58,5.86,5.34
130.11174,19.67005,0.0,18.04,18.38
130.11218,19.670841,17.09,0.0,0.0
130.11417,19.669615,17.73,0.0,0.0
130.11404,19.670254,13.68,17.95,18.18
130.11493,19.670225,0.0,18.83,17.52
130.1156,19.670427,18.11,17.3,18.22
130.11661,19.670559,16.76,18.22,0.0
130.1177,19.66905,18.52,17.51,0.0
130.11781,19.670452,0.0,18.96,18.09
130.11467,19.655567,14.09,12.07,11.5
130.09216,19.64922,0.0,0.0,17.94
130.09238,19.648684,0.0,0.0,17.53
130.11497,19.680424,19.05,18.32,18.15
130.1089,19.686487,9.59,8.92,8.69
130.09262,19.646235,0.0,18.65,0.0
130.11882,19.65102,0.0,19.49,18.43
130.08644,19.686733,7.84,7.47,7.35
130.09232,19.643942,0.0,0.0,18.1
130.11452,19.68649,16.45,17.74,0.0
130.11511,19.686531,0.0,18.3,0.0
130.11589,19.686579,0.0,18.46,0.0
130.11635,19.686338,0.0,16.9,0.0
130.09259,19.641563,0.0,0.0,18.64
130.07245,19.669718,0.0,17.54,17.9
130.0714,19.670048,0.0,18.08,0.0
130.10649,19.640038,19.48,18.67,18.72
130.09236,19.69352,0.0,18.43,18.36
130.0926,19.639704,0.0,0.0,18.33
130.11765,19.643984,19.59,0.0,18.75
130.1123,19.6924,18.55,19.05,0.0
130.07008,19.66978,0.0,18.42,18.33
130.12137,19.686749,19.77,18.46,0.0
130.13008,19.671217,17.0,15.83,16.07
130.09262,19.638372,0.0,0.0,18.31
130.077,19.686544,18.97,17.89,0.0
130.07706,19.68692,17.65,17.91,0.0
130.06871,19.66952,19.75,0.0,0.0
130.0925,19.637802,0.0,0.0,0.0
130.09827,19.636753,0.0,0.0,18.84
130.06897,19.674967,18.74,16.25,15.05
130.07555,19.686567,18.46,18.7,0.0
130.09137,19.696215,19.49,0.0,18.34
130.07504,19.68686,19.16,0.0,0.0
130.08675,19.695402,18.12,0.0,0.0
130.07417,19.686823,19.04,0.0,0.0
130.09088,19.636194,0.0,0.0,18.08
130.06621,19.671307,19.74,17.83,15.94
130.0733,19.645653,0.0,0.0,0.0
130.06529,19.669804,0.0,0.0,0.0
130.0922,19.69946,0.0,18.96,0.0
130.08672,19.69801,19.13,0.0,0.0
130.06337,19.66965,0.0,0.0,18.76
130.13612,19.659956,19.42,17.22,16.73
130.08675,19.699066,19.54,0.0,0.0
130.08612,19.699064,18.56,0.0,0.0
