Number,ApertureRA,ApertureDec,CentroidRA,CentroidDec,ApertureX,ApertureY,CentroidX,CentroidY,CentroidFlag,SourceIntensity,ApertureCorr,SourceUncertainty,DataUnits,Magnitude,MagUncertainty,SourceModel,SkyModel,SkyMedian,SkyMode,SkyAverage,SkyLocalNonAnnulusBkg,SkyRMS,SkyCustom,SkySigma,SkyScale,RadiusCentroid,ApertureMajorRadius,ApertureMinorRadius,ApertureRotationAngle,SkyRadiusInner,SkyRadiusOuter,ApertureNumPixels,ApertureNumRejected,SkyNumPixels,RadialProfileFWHM,Image
1,251.803662,-1.953681,251.803621,-1.953633,225,12,225.740,12.872,1,+16301.1,1.0000,+417.742,D.N.,-10.5305,+0.0278,0,B,43.647095,22.503784,59.942854,29.902069,75.375061,0.000000,45.745294,39.861088,5,5,5,0,8,15,79.04,0,478,3.73,/Users/spicyboiii/Desktop/M12_V.fits
2,251.799170,-1.953682,251.799148,-1.953657,306,12,306.405,12.439,1,+8048.89,1.0000,+211.281,D.N.,-9.7643,+0.0285,0,B,27.605402,20.153803,39.717787,19.111019,50.652523,0.000000,31.470090,19.057299,5,5,5,0,8,15,79.04,0,452,3.37,/Users/spicyboiii/Desktop/M12_V.fits
3,251.784530,-1.953626,251.784528,-1.953589,570,13,570.035,13.684,1,+3349.40,1.0000,+68.9445,D.N.,-8.8124,+0.0223,0,B,14.216250,13.785051,16.139329,13.567540,17.490944,0.000000,6.748951,3.763746,5,5,5,0,8,15,79.04,0,489,3.55,/Users/spicyboiii/Desktop/M12_V.fits
4,251.770055,-1.953627,251.770005,-1.953587,831,13,831.904,13.712,1,+1859.38,1.0000,+68.8678,D.N.,-8.1734,+0.0402,0,B,12.628648,11.711892,17.062682,10.891049,21.250664,0.000000,12.680105,5.392713,5,5,5,0,8,15,79.04,0,488,3.52,/Users/spicyboiii/Desktop/M12_V.fits
5,251.769778,-1.953516,251.770004,-1.953588,836,15,831.917,13.697,1,+1858.54,1.0000,+68.8617,D.N.,-8.1729,+0.0402,0,B,12.628648,11.711892,17.062682,10.851204,21.250664,0.000000,12.680105,5.392713,5,5,5,0,8,15,79.04,0,488,3.32,/Users/spicyboiii/Desktop/M12_V.fits
6,251.766395,-1.953627,251.766365,-1.953640,897,13,897.534,12.756,1,+1227.46,1.0000,+47.5297,D.N.,-7.7225,+0.0420,0,B,12.212990,11.384855,14.482940,10.762850,16.431079,0.000000,7.768611,3.218101,5,5,5,0,8,15,79.04,0,477,3.34,/Users/spicyboiii/Desktop/M12_V.fits
7,251.762125,-1.953571,251.762139,-1.953532,974,14,973.750,14.699,1,+3170.63,1.0000,+58.4321,D.N.,-8.7529,+0.0200,0,B,10.383780,10.469585,10.403961,10.240717,10.521100,0.000000,1.567134,1.576101,5,5,5,0,8,15,79.04,0,515,3.48,/Users/spicyboiii/Desktop/M12_V.fits
8,251.760627,-1.953737,251.760629,-1.953771,1001,11,1000.974,10.396,1,+1560.13,1.0000,+43.4524,D.N.,-7.9829,+0.0302,0,B,10.799436,11.060360,10.871220,9.880028,11.063193,0.000000,2.054463,1.790610,5,5,5,0,8,15,79.04,0,422,3.33,/Users/spicyboiii/Desktop/M12_V.fits
9,251.759407,-1.953682,251.759395,-1.953648,1023,12,1023.220,12.606,1,+481.322,1.0000,+45.6133,D.N.,-6.7061,+0.1029,0,B,11.389093,11.555112,14.541513,9.556317,18.097296,0.000000,10.784287,4.005957,5,5,5,0,8,15,79.04,0,476,24.68,/Users/spicyboiii/Desktop/M12_V.fits
10,251.758853,-1.953627,251.758830,-1.953636,1033,13,1033.417,12.827,1,+3188.10,1.0000,+61.8147,D.N.,-8.7588,+0.0211,0,B,11.318274,10.266521,12.451010,9.526129,13.098264,0.000000,4.070887,2.516887,5,5,5,0,8,15,79.04,0,470,3.36,/Users/spicyboiii/Desktop/M12_V.fits
