15.53,SourceIntensityB,,SourceIntensityV,,Bmag,Vmag
15.4,4048.45,,16301.1,,17.68438069,16.80068373
,1692.64,,8048.89,,18.63119114,17.56688603
29447,971.523,,3349.4,,19.23396992,18.51880847
59223,457.656,,1859.38,,20.05125474,19.15780562
,457.617,,1858.54,,20.05134727,19.15829623
,308.706,,1227.46,,20.47873996,19.60870764
,928.429,,3170.63,,19.2832309,18.5783621
,415.357,,1560.13,,20.15654881,19.34832404
,138.518,,481.322,,21.34883711,20.62513673
,928.021,,3188.1,,19.28370813,18.57239617
,2190.47,,9369.25,,18.35125937,17.40196394
,522.93,,1838.84,,19.90649375,19.16986615
,542.947,,2074.22,,19.86570905,19.03908896
,145.239,,723.595,,21.29739452,20.18248711
,172.981,,626.942,,21.10760663,20.3381576
,3793.4,,16006.2,,17.75503104,16.82050541
,3626.98,,15597.6,,17.80373974,16.84858156
,1279.51,,4866.62,,18.93499343,18.11315742
,154.234,,755.111,,21.23215234,20.13619902
,154.234,,755.416,,21.23215234,20.13576056
,40163.4,,96423.7,,15.19302646,14.87076653
,804.671,,2898.7,,19.43855677,18.67571783
,1194.99,,4295.05,,19.00919196,18.24880545
,707.084,,2572.56,,19.57892512,18.80531223
,82.3476,,466.068,,21.91347528,20.66010279
,82.167,,470.661,,21.91585906,20.64945548
,2377.79,,8292.31,,18.2621689,17.53453718
,1184.65,,4265.29,,19.01862749,18.2563546
,344.964,,1239.29,,20.3581682,19.59829364
,1840.21,,7661.89,,18.54043417,17.62038623
,1160.78,,4837.24,,19.04072785,18.11973192
,210.952,,886.724,,20.89214352,19.96175485
,171.579,,786.701,,21.11644231,20.09170175
,171.579,,786.496,,21.11644231,20.09198471
,206.446,,832.449,,20.91558646,20.03033192
,38337.4,,92413.3,,15.243546,14.91688981
,802.548,,3001.72,,19.4414251,18.63780056
,677.046,,883.623,,19.6260572,19.96555848
,371.654,,1315.07,,20.27725561,19.53385383
,766.808,,2723.49,,19.49088605,18.74341155
,361.489,,1429.82,,20.30736492,19.44302259
,6705.94,,29749.4,,17.13645348,16.14753048
,677.046,,2473.43,,19.6260572,18.84797695
,1117.77,,4033.8,,19.08172152,18.3169401
,1132.08,,4025.11,,19.06790985,18.31928162
,15642.4,,76398.2,,16.21684417,15.12351819
,65878.7,,462040,,14.65574009,13.16952707
,32245.6,,72666.3,,15.43142648,15.17789339
,32233.8,,72664,,15.43182387,15.17792776
,32245.6,,10542.8,,15.43142648,17.27383609
,1514.97,,6600.17,,18.75159256,17.7823382
,67.059,,380.274,,22.13645996,20.88098443
,280.012,,1083.82,,20.58466103,19.74383311
,22719.2,,47098.2,,15.81162005,15.64871523
,32233.8,,10537.2,,15.43182387,17.27441295
,67.8705,,321.91,,22.12340002,21.06188984
,797.76,,3171.24,,19.447922,18.57815323
,297.532,,1203.74,,20.51876844,19.62989428
,276.861,,1129.27,,20.59694818,19.69923153
,100.074,,530.876,,21.70179949,20.51874328
,658.813,,2661.17,,19.65569724,18.76854446
,660.484,,2658.88,,19.65294689,18.76947916
,802.242,,2679.12,,19.44183915,18.76124559
,565.235,,1953.3,,19.82203003,19.10430363
,151.503,,696.775,,21.25154956,20.22349461
,3962.93,,18143,,17.70756164,16.68445326
,18159.6,,92155.3,,16.05483695,14.91992521
,1003.4,,3585.84,,19.1989174,18.44474874
,1005.04,,3591.37,,19.19714427,18.44307563
,711.13,,2507.4,,19.57273014,18.83316695
,190.378,,729.991,,21.00356074,20.17293224
,69.3832,,284.913,,22.09946683,21.19444534
,435.009,,1708.68,,20.10635704,19.24957417
,5279.91,,21642.9,,17.39603634,16.49293738
,2738.58,,11656.2,,18.10878906,17.16483353
,2743.03,,11653.8,,18.10702625,17.16505711
,572.792,,2014.01,,19.80761028,19.07107195
,171.143,,617.048,,21.11920479,20.35542864
,86.1824,,434.509,,21.86405618,20.73622907
,3974.09,,18143,,17.7045084,16.68445326
,65878.7,,462078,,14.65574009,13.16943778
,315.422,,1268.98,,20.45537269,19.57258906
,1572.98,,6427.52,,18.71079464,17.81111742
,3311.35,,11773.9,,17.90258992,17.15392515
,1293.76,,5144.85,,18.92296834,18.05279421
,32106.9,,145773,,15.4361067,14.42203328
,26484.5,,137638,,15.6451232,14.48438012
,18158.7,,4638.19,,16.05489076,18.16535467
,32245.6,,10545.4,,15.43142648,17.27356836
,801.946,,693.31,,19.44223983,20.22890735
,3298.44,,13621.4,,17.90683117,16.99567164
,26484.5,,137138,,15.6451232,14.48833148
,1794.36,,6622.35,,18.56782869,17.77869568
,3336.8,,13443.2,,17.8942772,17.00996936
,7262.04,,15093,,17.04995605,16.88428708
,1794.36,,6622.35,,18.56782869,17.77869568
,18158.7,,92155.3,,16.05489076,14.91992521
,96.01,,476.003,,21.74681147,20.63720178
,1356.21,,5038.17,,18.87178529,18.07554396
,953.483,,3208.85,,19.25432026,18.56535247
,550.532,,2231.68,,19.85064622,18.9596462
,75.7642,,425.814,,22.00394254,20.75817617
,1435.45,,5505.61,,18.81013247,17.9792124
,231.173,,850.805,,20.79275987,20.00665092
,229.362,,985.315,,20.80129897,19.84728827
,663.071,,2701.43,,19.64870256,18.75224171
,1080.17,,3784.04,,19.11887236,18.38633671
,2212.18,,9723.75,,18.34055149,17.36164155
,1853.08,,6790.43,,18.53286722,17.75148282
