Zini,Age,Mini,Mass,logL,logTe,logg,label,McoreTP,C_O,period0,period1,pmode,Mloss,tau1m,X,Y,Xc,Xn,Xo,Cexcess,Z,mbolmag,Umag,Bmag,Vmag,Rmag,Imag,Jmag,Hmag,Kmag
0.01520,1.30e+10,0.0900000036,0.090,-3.422,3.3626,5.217,1,0.000,0.545,0.00,0.00,-1,0,0.00,7.076e-01,2.771e-01,2.746e-03,7.408e-04,6.719e-03,-1.000,1.527e-02,13.326,25.061,21.108,18.662,16.373,13.887,11.224,10.621,10.284
0.01520,1.30e+10,0.0986630693,0.099,-3.263,3.3852,5.188,1,0.000,0.545,0.00,0.00,-1,0,0.00,7.072e-01,2.776e-01,2.746e-03,7.408e-04,6.719e-03,-1.000,1.527e-02,12.928,23.324,19.945,17.712,15.622,13.227,10.814,10.255,9.940
0.01520,1.30e+10,0.1000000015,0.100,-3.240,3.3885,5.184,1,0.000,0.545,0.00,0.00,-1,0,0.00,7.071e-01,2.776e-01,2.746e-03,7.408e-04,6.719e-03,-1.000,1.527e-02,12.869,23.075,19.778,17.571,15.511,13.132,10.756,10.202,9.889
0.01520,1.30e+10,0.1001830325,0.100,-3.237,3.3889,5.183,1,0.000,0.545,0.00,0.00,-1,0,0.00,7.071e-01,2.776e-01,2.746e-03,7.408e-04,6.719e-03,-1.000,1.527e-02,12.863,23.049,19.761,17.555,15.499,13.121,10.749,10.196,9.883
0.01520,1.30e+10,0.1200000122,0.120,-2.975,3.4234,5.137,1,0.000,0.545,0.00,0.00,-1,0,0.00,7.060e-01,2.787e-01,2.746e-03,7.408e-04,6.719e-03,-1.000,1.527e-02,12.206,20.499,18.002,16.016,14.278,12.138,10.145,9.619,9.312
0.01520,1.30e+10,0.1400000006,0.140,-2.791,3.4437,5.101,1,0.000,0.545,0.00,0.00,-1,0,0.00,7.050e-01,2.797e-01,2.746e-03,7.408e-04,6.719e-03,-1.000,1.527e-02,11.747,19.207,16.968,15.065,13.482,11.508,9.737,9.207,8.913
0.01520,1.30e+10,0.1453274637,0.145,-2.751,3.4475,5.093,1,0.000,0.545,0.00,0.00,-1,0,0.00,7.047e-01,2.800e-01,2.746e-03,7.408e-04,6.719e-03,-1.000,1.527e-02,11.648,18.950,16.763,14.877,13.324,11.384,9.648,9.118,8.825
0.01520,1.30e+10,0.1599999964,0.160,-2.649,3.4573,5.072,1,0.000,0.545,0.00,0.00,-1,0,0.00,7.041e-01,2.806e-01,2.746e-03,7.408e-04,6.719e-03,-1.000,1.527e-02,11.392,18.290,16.236,14.397,12.920,11.068,9.420,8.887,8.597
0.01520,1.30e+10,0.2000000030,0.200,-2.427,3.4760,5.022,1,0.000,0.545,0.00,0.00,-1,0,0.00,7.027e-01,2.820e-01,2.746e-03,7.408e-04,6.719e-03,-1.000,1.527e-02,10.837,17.001,15.199,13.454,12.112,10.426,8.917,8.383,8.099
0.01520,1.30e+10,0.2500000000,0.250,-2.211,3.4922,4.968,1,0.000,0.545,0.00,0.00,-1,0,0.00,7.018e-01,2.830e-01,2.746e-03,7.408e-04,6.719e-03,-1.000,1.527e-02,10.297,15.940,14.294,12.622,11.375,9.822,8.419,7.881,7.607
0.01520,1.30e+10,0.3000000119,0.300,-2.045,3.5028,4.923,1,0.000,0.545,0.00,0.00,-1,0,0.00,7.016e-01,2.832e-01,2.746e-03,7.408e-04,6.719e-03,-1.000,1.527e-02,9.883,15.235,13.666,12.034,10.840,9.370,8.029,7.489,7.222
0.01520,1.30e+10,0.3500000238,0.350,-1.901,3.5115,4.881,1,0.000,0.545,0.00,0.00,-1,0,0.00,7.088e-01,2.760e-01,2.746e-03,7.408e-04,6.719e-03,-1.000,1.527e-02,9.523,14.654,13.140,11.540,10.387,8.982,7.689,7.145,6.885
0.01520,1.30e+10,0.4000000358,0.400,-1.756,3.5227,4.839,1,0.000,0.545,0.00,0.00,-1,0,0.00,7.091e-01,2.756e-01,2.746e-03,7.408e-04,6.719e-03,-1.000,1.527e-02,9.160,14.039,12.581,11.020,9.913,8.587,7.352,6.800,6.549
0.01520,1.30e+10,0.4500000477,0.450,-1.605,3.5353,4.789,1,0.000,0.545,0.00,0.00,-1,1.88e-15,0.00,7.091e-01,2.756e-01,2.746e-03,7.408e-04,6.719e-03,-1.000,1.527e-02,8.782,13.398,11.995,10.473,9.412,8.178,7.004,6.443,6.200
0.01520,1.30e+10,0.5000000000,0.500,-1.444,3.5511,4.737,1,0.000,0.545,0.00,0.00,-1,0,0.00,7.092e-01,2.755e-01,2.746e-03,7.408e-04,6.719e-03,-1.000,1.527e-02,8.379,12.716,11.360,9.880,8.868,7.743,6.641,6.066,5.833
0.01520,1.30e+10,0.5500000119,0.550,-1.258,3.5721,4.677,1,0.000,0.544,0.00,0.00,-1,0,0.00,7.383e-01,2.479e-01,2.489e-03,6.718e-04,6.095e-03,-1.000,1.387e-02,7.916,11.972,10.650,9.222,8.260,7.251,6.224,5.630,5.418
0.01520,1.30e+10,0.6000000238,0.600,-1.078,3.5982,4.639,1,0.000,0.544,0.00,0.00,-1,0,0.00,7.425e-01,2.438e-01,2.454e-03,6.627e-04,6.013e-03,-1.000,1.365e-02,7.466,10.803,9.726,8.459,7.592,6.798,5.845,5.162,5.035
0.01520,1.30e+10,0.6499999762,0.650,-0.892,3.6305,4.617,1,0.000,0.544,0.00,0.00,-1,0,0.00,7.463e-01,2.402e-01,2.424e-03,6.545e-04,5.941e-03,-1.000,1.351e-02,6.999,9.923,8.902,7.718,6.954,6.334,5.481,4.783,4.684
0.01520,1.30e+10,0.7000000477,0.700,-0.707,3.6629,4.594,1,0.000,0.544,0.00,0.00,-1,0,0.00,7.500e-01,2.366e-01,2.394e-03,6.466e-04,5.870e-03,-1.000,1.338e-02,6.537,8.908,8.069,7.012,6.362,5.849,5.107,4.488,4.411
0.01520,1.30e+10,0.7119721770,0.712,-0.663,3.6703,4.586,1,0.000,0.542,0.00,0.00,-1,0,0.00,7.510e-01,2.357e-01,2.378e-03,6.442e-04,5.850e-03,-1.000,1.330e-02,6.427,8.666,7.881,6.852,6.228,5.733,5.018,4.423,4.350
0.01520,1.30e+10,0.7299457788,0.730,-0.597,3.6811,4.574,1,0.000,0.539,0.00,0.00,-1,0,0.00,7.525e-01,2.343e-01,2.354e-03,6.405e-04,5.821e-03,-1.000,1.323e-02,6.262,8.311,7.605,6.618,6.031,5.560,4.885,4.325,4.258
0.01520,1.30e+10,0.7469058633,0.747,-0.534,3.6911,4.562,1,0.000,0.537,0.00,0.00,-1,0,0.00,7.539e-01,2.329e-01,2.331e-03,6.371e-04,5.793e-03,-1.000,1.319e-02,6.105,7.983,7.356,6.406,5.852,5.401,4.761,4.232,4.170
0.01520,1.30e+10,0.7500000000,0.750,-0.523,3.6929,4.559,1,0.000,0.536,0.00,0.00,-1,2.28e-14,0.00,7.542e-01,2.327e-01,2.327e-03,6.365e-04,5.788e-03,-1.000,1.314e-02,6.077,7.924,7.310,6.367,5.819,5.372,4.738,4.214,4.154
0.01520,1.30e+10,0.7551397085,0.755,-0.504,3.6954,4.554,1,0.000,0.536,0.00,0.00,-1,2.39e-14,0.00,7.547e-01,2.321e-01,2.322e-03,6.352e-04,5.777e-03,-1.000,1.312e-02,6.031,7.833,7.240,6.307,5.767,5.326,4.700,4.184,4.125
0.01520,1.30e+10,0.7696644068,0.770,-0.451,3.7026,4.538,1,0.000,0.536,0.00,0.00,-1,0,0.00,7.563e-01,2.306e-01,2.310e-03,6.317e-04,5.745e-03,-1.000,1.306e-02,5.899,7.585,7.048,6.143,5.623,5.195,4.594,4.099,4.043
0.01520,1.30e+10,0.7827528119,0.783,-0.404,3.7089,4.523,1,0.000,0.536,0.00,0.00,-1,0,0.00,7.578e-01,2.292e-01,2.298e-03,6.286e-04,5.717e-03,-1.000,1.301e-02,5.779,7.363,6.876,5.995,5.492,5.076,4.496,4.020,3.967
0.01520,1.30e+10,0.7955061197,0.795,-0.356,3.7149,4.507,1,0.000,0.536,0.00,0.00,-1,0,0.00,7.591e-01,2.279e-01,2.286e-03,6.256e-04,5.690e-03,-1.000,1.295e-02,5.661,7.151,6.712,5.853,5.367,4.961,4.401,3.942,3.891
0.01520,1.30e+10,0.8000000119,0.800,-0.340,3.7170,4.501,1,0.000,0.536,0.00,0.00,-1,3.6e-14,0.00,7.596e-01,2.274e-01,2.282e-03,6.245e-04,5.681e-03,-1.000,1.291e-02,5.620,7.077,6.654,5.804,5.323,4.921,4.367,3.914,3.864
0.01520,1.30e+10,0.8007993698,0.801,-0.337,3.7174,4.500,1,0.000,0.536,0.00,0.00,-1,3.63e-14,0.00,7.597e-01,2.274e-01,2.282e-03,6.242e-04,5.679e-03,-1.000,1.291e-02,5.612,7.064,6.644,5.795,5.315,4.914,4.361,3.909,3.859
0.01520,1.30e+10,0.8139697313,0.814,-0.287,3.7231,4.480,1,0.000,0.536,0.00,0.00,-1,0,0.00,7.614e-01,2.258e-01,2.268e-03,6.206e-04,5.646e-03,-1.000,1.287e-02,5.487,6.850,6.475,5.648,5.183,4.792,4.257,3.821,3.774
0.01520,1.30e+10,0.8263319135,0.826,-0.239,3.7283,4.459,1,0.000,0.536,0.00,0.00,-1,0,0.00,7.629e-01,2.243e-01,2.256e-03,6.173e-04,5.616e-03,-1.000,1.278e-02,5.368,6.654,6.318,5.513,5.060,4.677,4.158,3.736,3.691
0.01520,1.30e+10,0.8377575278,0.837,-0.194,3.7329,4.439,1,0.000,0.535,0.00,0.00,-1,0,0.00,7.643e-01,2.230e-01,2.245e-03,6.143e-04,5.589e-03,-1.000,1.269e-02,5.256,6.474,6.172,5.387,4.944,4.569,4.064,3.655,3.610
0.01520,1.30e+10,0.8487876058,0.848,-0.150,3.7371,4.417,1,0.000,0.535,0.00,0.00,-1,0,0.00,7.656e-01,2.217e-01,2.234e-03,6.115e-04,5.565e-03,-1.000,1.266e-02,5.144,6.301,6.030,5.262,4.830,4.462,3.970,3.571,3.528
0.01520,1.30e+10,0.8500000238,0.849,-0.145,3.7375,4.414,1,0.000,0.535,0.00,0.00,-1,6.04e-14,0.00,7.658e-01,2.216e-01,2.233e-03,6.112e-04,5.562e-03,-1.000,1.266e-02,5.132,6.282,6.014,5.249,4.817,4.450,3.960,3.562,3.519
0.01520,1.30e+10,0.8507121205,0.850,-0.142,3.7378,4.413,1,0.000,0.535,0.00,0.00,-1,6.09e-14,0.00,7.659e-01,2.215e-01,2.232e-03,6.110e-04,5.560e-03,-1.000,1.265e-02,5.125,6.271,6.005,5.241,4.810,4.443,3.953,3.556,3.514
0.01520,1.30e+10,0.8623635769,0.862,-0.093,3.7417,4.385,1,0.000,0.535,0.00,0.00,-1,0,0.00,7.675e-01,2.199e-01,2.219e-03,6.074e-04,5.528e-03,-1.000,1.260e-02,5.002,6.096,5.856,5.109,4.686,4.326,3.848,3.460,3.419
0.01520,1.30e+10,0.8739449382,0.873,-0.043,3.7452,4.355,1,0.000,0.535,0.00,0.00,-1,0,0.00,7.690e-01,2.185e-01,2.207e-03,6.042e-04,5.500e-03,-1.000,1.251e-02,4.878,5.926,5.708,4.977,4.562,4.207,3.739,3.359,3.319
0.01520,1.30e+10,0.8852814436,0.884,0.005,3.7480,4.323,1,0.000,0.535,0.00,0.00,-1,0,0.00,7.702e-01,2.174e-01,2.198e-03,6.018e-04,5.478e-03,-1.000,1.244e-02,4.756,5.768,5.567,4.848,4.440,4.089,3.629,3.256,3.217
0.01520,1.30e+10,0.8949539661,0.894,0.049,3.7500,4.292,1,0.000,0.535,0.00,0.00,-1,0,0.00,7.701e-01,2.174e-01,2.199e-03,6.021e-04,5.481e-03,-1.000,1.244e-02,4.647,5.632,5.444,4.734,4.330,3.982,3.528,3.160,3.122
0.01520,1.30e+10,0.8980416059,0.897,0.063,3.7506,4.282,1,0.000,0.535,0.00,0.00,-1,0,0.00,7.700e-01,2.176e-01,2.201e-03,6.027e-04,5.486e-03,-1.000,1.245e-02,4.612,5.589,5.405,4.698,4.295,3.948,3.495,3.129,3.091
0.01520,1.30e+10,0.9000000358,0.899,0.073,3.7508,4.274,1,0.000,0.535,0.00,0.00,-1,1.14e-13,0.00,7.697e-01,2.179e-01,2.204e-03,6.035e-04,5.493e-03,-1.000,1.247e-02,4.588,5.562,5.379,4.673,4.271,3.924,3.472,3.107,3.069
0.01520,1.30e+10,0.9053121209,0.904,0.099,3.7514,4.253,1,0.000,0.535,0.00,0.00,-1,1.24e-13,0.00,7.689e-01,2.186e-01,2.211e-03,6.055e-04,5.511e-03,-1.000,1.254e-02,4.522,5.488,5.309,4.606,4.205,3.859,3.409,3.045,3.007
0.01520,1.30e+10,0.9121757150,0.911,0.134,3.7516,4.222,1,0.000,0.535,0.00,0.00,-1,1.38e-13,0.00,7.677e-01,2.197e-01,2.223e-03,6.087e-04,5.541e-03,-1.000,1.262e-02,4.435,5.398,5.219,4.518,4.117,3.772,3.322,2.959,2.921
0.01520,1.30e+10,0.9200869203,0.919,0.176,3.7509,4.181,1,0.000,0.535,0.00,0.00,-1,1.59e-13,0.00,7.653e-01,2.220e-01,2.248e-03,6.156e-04,5.604e-03,-1.000,1.276e-02,4.330,5.302,5.119,4.414,4.013,3.666,3.214,2.850,2.811
0.01520,1.30e+10,0.9243957400,0.923,0.200,3.7500,4.156,1,0.000,0.535,0.00,0.00,-1,0,0.00,7.635e-01,2.236e-01,2.265e-03,6.204e-04,5.649e-03,-1.000,1.285e-02,4.271,5.255,5.066,4.358,3.954,3.607,3.152,2.785,2.746
0.01520,1.30e+10,0.9273402691,0.926,0.216,3.7485,4.134,1,0.000,0.535,0.00,0.00,-1,0,0.00,7.610e-01,2.261e-01,2.289e-03,6.270e-04,5.708e-03,-1.000,1.298e-02,4.230,5.233,5.035,4.320,3.913,3.563,3.104,2.734,2.695
0.01520,1.30e+10,0.9341227412,0.933,0.253,3.7433,4.079,2,0.000,0.535,0.00,0.00,-1,0,0.00,7.533e-01,2.334e-01,2.359e-03,6.460e-04,5.881e-03,-1.000,1.337e-02,4.137,5.207,4.976,4.238,3.821,3.463,2.989,2.606,2.565
0.01520,1.30e+10,0.9397503138,0.938,0.280,3.7338,4.017,2,0.000,0.535,0.00,0.00,-1,0,0.00,7.441e-01,2.421e-01,2.436e-03,6.667e-04,6.067e-03,-1.000,1.382e-02,4.069,5.267,4.975,4.195,3.758,3.384,2.882,2.476,2.432
0.01520,1.30e+10,0.9429024458,0.941,0.291,3.7235,3.967,2,0.000,0.536,0.00,0.00,-1,0,0.00,7.375e-01,2.485e-01,2.489e-03,6.808e-04,6.192e-03,-1.000,1.409e-02,4.042,5.388,5.024,4.198,3.739,3.348,2.814,2.381,2.334
0.01520,1.30e+10,0.9449796677,0.944,0.301,3.7139,3.920,2,0.000,0.536,0.00,0.00,-1,0,0.00,7.325e-01,2.532e-01,2.526e-03,6.907e-04,6.281e-03,-1.000,1.430e-02,4.019,5.513,5.076,4.208,3.727,3.320,2.754,2.295,2.244
0.01520,1.30e+10,0.9468472004,0.945,0.322,3.7046,3.862,2,0.000,0.536,0.00,0.00,-1,0,0.00,7.279e-01,2.576e-01,2.559e-03,6.995e-04,6.359e-03,-1.000,1.449e-02,3.966,5.606,5.099,4.192,3.688,3.264,2.668,2.182,2.127
0.01520,1.30e+10,0.9485207200,0.947,0.358,3.6973,3.797,2,0.000,0.537,0.00,0.00,-1,0,0.00,7.236e-01,2.618e-01,2.587e-03,7.069e-04,6.425e-03,-1.000,1.463e-02,3.875,5.634,5.069,4.130,3.609,3.172,2.551,2.044,1.986
0.01520,1.30e+10,0.9491836429,0.948,0.377,3.6947,3.769,2,0.000,0.537,0.00,0.00,-1,0,0.00,7.218e-01,2.635e-01,2.597e-03,7.097e-04,6.449e-03,-1.000,1.468e-02,3.828,5.629,5.045,4.095,3.567,3.126,2.496,1.981,1.922
0.01520,1.30e+10,0.9497835040,0.948,0.401,3.6931,3.739,2,0.000,0.537,0.00,0.00,-1,0,0.00,7.202e-01,2.651e-01,2.604e-03,7.117e-04,6.467e-03,-1.000,1.469e-02,3.769,5.596,5.000,4.043,3.511,3.067,2.431,1.912,1.852
0.01520,1.30e+10,0.9500000477,0.949,0.410,3.6926,3.728,2,0.000,0.537,0.00,0.00,-1,4.5e-13,0.00,7.196e-01,2.657e-01,2.607e-03,7.125e-04,6.474e-03,-1.000,1.470e-02,3.745,5.581,4.981,4.022,3.489,3.043,2.406,1.885,1.825
0.01520,1.30e+10,0.9507716298,0.949,0.444,3.6908,3.687,3,0.000,0.537,0.00,0.00,-1,5.09e-13,0.00,7.173e-01,2.679e-01,2.616e-03,7.151e-04,6.497e-03,-1.000,1.475e-02,3.660,5.526,4.913,3.946,3.408,2.959,2.315,1.789,1.728
0.01520,1.30e+10,0.9517996311,0.950,0.496,3.6890,3.627,3,0.000,0.536,0.00,0.00,-1,6.14e-13,0.00,7.139e-01,2.712e-01,2.621e-03,7.191e-04,6.523e-03,-1.000,1.483e-02,3.529,5.425,4.799,3.823,3.281,2.829,2.178,1.647,1.585
