Zini,Age,Mini,Mass,logL,logTe,logg,label,McoreTP,C_O,period0,period1,pmode,Mloss,tau1m,X,Y,Xc,Xn,Xo,Cexcess,Z,mbolmag,Umag,Bmag,Vmag,Rmag,Imag,Jmag,Hmag,Kmag
0.01520,7.50e+08,0.0900000036,0.090,-3.352,3.3684,5.170,0,0.000,0.545,0.00,0.00,-1,4.89e-17,0.00,7.091e-01,2.756e-01,2.746e-03,7.408e-04,6.719e-03,-1.000,1.527e-02,13.150,24.453,20.707,18.334,16.106,13.641,11.040,10.454,10.120
0.01520,7.50e+08,0.0983477458,0.098,-3.231,3.3867,5.161,0,0.000,0.545,0.00,0.00,-1,6.24e-17,0.00,7.091e-01,2.756e-01,2.746e-03,7.408e-04,6.719e-03,-1.000,1.527e-02,12.849,23.100,19.801,17.589,15.519,13.132,10.734,10.180,9.863
0.01520,7.50e+08,0.1000000015,0.100,-3.208,3.3902,5.159,0,0.000,0.545,0.00,0.00,-1,6.55e-17,0.00,7.091e-01,2.756e-01,2.746e-03,7.408e-04,6.719e-03,-1.000,1.527e-02,12.790,22.847,19.630,17.441,15.403,13.035,10.678,10.128,9.813
0.01520,7.50e+08,0.1022156179,0.102,-3.181,3.3940,5.156,0,0.000,0.545,0.00,0.00,-1,6.92e-17,0.00,7.091e-01,2.756e-01,2.746e-03,7.408e-04,6.719e-03,-1.000,1.527e-02,12.722,22.575,19.444,17.276,15.274,12.928,10.613,10.068,9.753
0.01520,7.50e+08,0.1200000122,0.120,-2.962,3.4234,5.125,0,0.000,0.545,0.00,0.00,-1,1.09e-16,0.00,7.090e-01,2.757e-01,2.746e-03,7.408e-04,6.719e-03,-1.000,1.527e-02,12.175,20.442,17.964,15.981,14.246,12.107,10.114,9.589,9.281
0.01520,7.50e+08,0.1400000006,0.140,-2.790,3.4430,5.098,0,0.000,0.545,0.00,0.00,-1,1.55e-16,0.00,7.090e-01,2.757e-01,2.746e-03,7.408e-04,6.719e-03,-1.000,1.527e-02,11.744,19.218,16.980,15.076,13.490,11.511,9.733,9.204,8.909
0.01520,7.50e+08,0.1451694667,0.145,-2.755,3.4466,5.093,0,0.000,0.545,0.00,0.00,-1,1.66e-16,0.00,7.090e-01,2.757e-01,2.746e-03,7.408e-04,6.719e-03,-1.000,1.527e-02,11.657,18.991,16.795,14.905,13.346,11.399,9.655,9.125,8.832
0.01520,7.50e+08,0.1599999964,0.160,-2.653,3.4565,5.073,0,0.000,0.545,0.00,0.00,-1,2.04e-16,0.00,7.089e-01,2.758e-01,2.746e-03,7.408e-04,6.719e-03,-1.000,1.527e-02,11.401,18.331,16.267,14.425,12.942,11.082,9.427,8.895,8.604
0.01520,7.50e+08,0.1820988357,0.182,-2.529,3.4673,5.048,0,0.000,0.545,0.00,0.00,-1,2.61e-16,0.00,7.089e-01,2.758e-01,2.746e-03,7.408e-04,6.719e-03,-1.000,1.527e-02,11.091,17.590,15.673,13.884,12.482,10.719,9.148,8.614,8.327
0.01520,7.50e+08,0.2000000030,0.200,-2.438,3.4751,5.030,0,0.000,0.545,0.00,0.00,-1,3.14e-16,0.00,7.089e-01,2.759e-01,2.746e-03,7.408e-04,6.719e-03,-1.000,1.527e-02,10.865,17.068,15.250,13.500,12.152,10.458,8.943,8.408,8.124
0.01520,7.50e+08,0.2500000000,0.250,-2.236,3.4916,4.991,0,0.000,0.545,0.00,0.00,-1,4.67e-16,0.00,7.088e-01,2.759e-01,2.746e-03,7.408e-04,6.719e-03,-1.000,1.527e-02,10.361,16.021,14.371,12.696,11.445,9.888,8.481,7.943,7.669
0.01520,7.50e+08,0.3047869205,0.305,-2.065,3.5035,4.953,0,0.000,0.545,0.00,0.00,-1,0,0.00,7.088e-01,2.759e-01,2.746e-03,7.408e-04,6.719e-03,-1.000,1.527e-02,9.933,15.268,13.703,12.074,10.884,9.419,8.082,7.541,7.275
